,country,subnational1,umd_tree_cover_density__threshold,umd_tree_cover_extent_2000__ha,whrc_aboveground_biomass_stock_2000__Mg,avg_whrc_aboveground_biomass_2000_Mg_ha-1,gfw_gross_emissions_co2e_all_gases__Mg_yr-1,gfw_gross_cumulative_aboveground_belowground_co2_removals__Mg_yr-1,gfw_net_flux_co2e__Mg_yr-1,gfw_gross_emissions_co2e_all_gases_2001__Mg,gfw_gross_emissions_co2e_all_gases_2002__Mg,gfw_gross_emissions_co2e_all_gases_2003__Mg,gfw_gross_emissions_co2e_all_gases_2004__Mg,gfw_gross_emissions_co2e_all_gases_2005__Mg,gfw_gross_emissions_co2e_all_gases_2006__Mg,gfw_gross_emissions_co2e_all_gases_2007__Mg,gfw_gross_emissions_co2e_all_gases_2008__Mg,gfw_gross_emissions_co2e_all_gases_2009__Mg,gfw_gross_emissions_co2e_all_gases_2010__Mg,gfw_gross_emissions_co2e_all_gases_2011__Mg,gfw_gross_emissions_co2e_all_gases_2012__Mg,gfw_gross_emissions_co2e_all_gases_2013__Mg,gfw_gross_emissions_co2e_all_gases_2014__Mg,gfw_gross_emissions_co2e_all_gases_2015__Mg,gfw_gross_emissions_co2e_all_gases_2016__Mg,gfw_gross_emissions_co2e_all_gases_2017__Mg,gfw_gross_emissions_co2e_all_gases_2018__Mg,gfw_gross_emissions_co2e_all_gases_2019__Mg,gfw_gross_emissions_co2e_all_gases_2020__Mg
47,Bolivia,Pando,75,6148530,1794576168,292,7596282.0,13903286.0,-6307005.0,5923088.0,5401969.0,5062276.0,7084239.0,21474405.0,9739022.0,6484008.0,10597501.0,7603688.0,7209364.0,10576398.0,5834379.0,4628167.0,7468793.0,3719574.0,7094198.0,7324178.0,5838250.0,5395667.0,7466481.0
48,Bolivia,Potosí,0,11943654,8824183,1,,,,,,,,,,,,,,,,,,,,,,,
49,Bolivia,Potosí,10,40310,4374433,109,,,,,,,,,,,,,,,,,,,,,,,
50,Bolivia,Potosí,15,33694,3772337,112,,,,,,,,,,,,,,,,,,,,,,,
51,Bolivia,Potosí,20,29830,3413367,114,,,,,,,,,,,,,,,,,,,,,,,
52,Bolivia,Potosí,25,25765,3032908,118,,,,,,,,,,,,,,,,,,,,,,,
53,Bolivia,Potosí,30,23443,2811357,120,1015.0,91483.0,-90467.0,662.0,714.0,960.0,5561.0,990.0,569.0,186.0,1389.0,1523.0,2147.0,1479.0,2565.0,62.0,158.0,0.0,262.0,863.0,0.0,0.0,214.0
54,Bolivia,Potosí,50,13841,1866871,135,752.0,54010.0,-53258.0,643.0,619.0,577.0,3648.0,726.0,420.0,83.0,1040.0,1332.0,1414.0,1440.0,2027.0,0.0,78.0,0.0,172.0,615.0,0.0,0.0,214.0
55,Bolivia,Potosí,75,5729,875229,153,368.0,22376.0,-22008.0,388.0,495.0,216.0,1498.0,386.0,260.0,64.0,345.0,851.0,511.0,1245.0,783.0,0.0,20.0,0.0,67.0,70.0,0.0,0.0,162.0
56,Bolivia,Santa Cruz,0,35551686,4633034755,130,,,,,,,,,,,,,,,,,,,,,,,
57,Bolivia,Santa Cruz,10,30997742,4625220162,149,,,,,,,,,,,,,,,,,,,,,,,
58,Bolivia,Santa Cruz,15,30852010,4617466929,150,,,,,,,,,,,,,,,,,,,,,,,
59,Bolivia,Santa Cruz,20,30634859,4607010330,150,,,,,,,,,,,,,,,,,,,,,,,
60,Bolivia,Santa Cruz,25,30469391,4599027695,151,,,,,,,,,,,,,,,,,,,,,,,
