,country,subnational1,subnational2,threshold,area_ha,extent_2000_ha,extent_2010_ha,gain_2000-2012_ha,tc_loss_ha_2001,tc_loss_ha_2002,tc_loss_ha_2003,tc_loss_ha_2004,tc_loss_ha_2005,tc_loss_ha_2006,tc_loss_ha_2007,tc_loss_ha_2008,tc_loss_ha_2009,tc_loss_ha_2010,tc_loss_ha_2011,tc_loss_ha_2012,tc_loss_ha_2013,tc_loss_ha_2014,tc_loss_ha_2015,tc_loss_ha_2016,tc_loss_ha_2017,tc_loss_ha_2018,tc_loss_ha_2019,tc_loss_ha_2020
78,Bolivia,Chuquisaca,Yamparáez,50,168135,1461,563,6,5,1,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0
79,Bolivia,Chuquisaca,Yamparáez,75,168135,482,17,6,4,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
80,Bolivia,Cochabamba,Arani,0,295103,295103,295103,845,910,429,386,555,500,669,734,730,684,486,761,423,540,724,406,910,859,364,1085,383
81,Bolivia,Cochabamba,Arani,10,295103,153036,155008,845,910,429,386,554,499,668,732,729,684,485,760,421,528,699,392,868,816,340,1043,364
82,Bolivia,Cochabamba,Arani,15,295103,152491,153935,845,909,429,386,554,498,668,732,729,684,485,760,421,528,698,391,866,814,339,1042,364
83,Bolivia,Cochabamba,Arani,20,295103,152152,153685,845,909,428,386,554,498,667,732,728,684,485,760,421,528,697,391,865,812,339,1040,363
84,Bolivia,Cochabamba,Arani,25,295103,151902,153117,845,909,428,386,554,498,667,731,728,684,485,759,421,527,696,391,863,810,337,1038,363
85,Bolivia,Cochabamba,Arani,30,295103,151653,151368,845,909,428,386,554,498,667,731,728,684,485,759,421,527,695,390,862,809,337,1036,363
86,Bolivia,Cochabamba,Arani,50,295103,149217,146203,845,908,426,385,553,496,665,729,725,682,482,758,419,523,685,382,847,794,330,1018,358
87,Bolivia,Cochabamba,Arani,75,295103,141407,138919,845,902,421,383,546,488,657,719,713,678,477,751,413,502,652,363,786,739,309,961,337
88,Bolivia,Cochabamba,Arque,0,178505,178505,178505,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
89,Bolivia,Cochabamba,Arque,10,178505,376,523,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,Bolivia,Cochabamba,Arque,15,178505,280,411,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,Bolivia,Cochabamba,Arque,20,178505,241,411,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,Bolivia,Cochabamba,Arque,25,178505,214,329,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,Bolivia,Cochabamba,Arque,30,178505,200,97,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Bolivia,Cochabamba,Arque,50,178505,118,58,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,Bolivia,Cochabamba,Arque,75,178505,48,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Bolivia,Cochabamba,Ayopaya,0,910964,910964,910964,69,99,119,167,145,144,255,304,324,371,406,527,516,550,1162,576,815,1151,546,1107,1131
97,Bolivia,Cochabamba,Ayopaya,10,910964,561283,569552,69,96,117,163,144,142,253,303,321,370,404,524,514,547,1158,575,810,1143,543,1101,1124
98,Bolivia,Cochabamba,Ayopaya,15,910964,556665,566147,69,96,117,163,144,142,253,303,321,369,404,524,514,546,1158,575,810,1141,543,1101,1123
99,Bolivia,Cochabamba,Ayopaya,20,910964,553687,565809,69,95,117,163,143,141,253,303,321,369,404,524,514,546,1157,575,809,1139,543,1100,1122
100,Bolivia,Cochabamba,Ayopaya,25,910964,551029,563489,69,95,117,162,143,141,253,303,320,369,404,524,514,546,1157,575,809,1139,543,1100,1122
101,Bolivia,Cochabamba,Ayopaya,30,910964,549001,554742,69,95,117,162,143,141,253,303,320,369,404,524,514,546,1156,575,808,1138,542,1100,1122
102,Bolivia,Cochabamba,Ayopaya,50,910964,537148,541814,69,94,116,160,140,138,251,302,315,368,403,523,512,545,1154,574,806,1130,538,1096,1117
103,Bolivia,Cochabamba,Ayopaya,75,910964,514543,525086,69,89,114,151,136,134,247,301,308,366,400,517,509,541,1146,570,781,1086,522,1082,1105
104,Bolivia,Cochabamba,Capinota,0,95568,95568,95568,0,1,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0
105,Bolivia,Cochabamba,Capinota,10,95568,3137,1940,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
106,Bolivia,Cochabamba,Capinota,15,95568,2439,1646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,Bolivia,Cochabamba,Capinota,20,95568,2044,1646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,Bolivia,Cochabamba,Capinota,25,95568,1769,1351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,Bolivia,Cochabamba,Capinota,30,95568,1557,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,Bolivia,Cochabamba,Capinota,50,95568,858,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,Bolivia,Cochabamba,Capinota,75,95568,353,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,Bolivia,Cochabamba,Carrasco,0,1254358,1254358,1254358,11227,7039,7068,6337,8033,5525,6187,5725,8834,6543,6140,5867,4912,5610,9022,4078,6865,8764,4047,7492,4845
113,Bolivia,Cochabamba,Carrasco,10,1254358,979200,983081,11227,7032,7064,6333,8026,5520,6182,5718,8825,6537,6128,5857,4897,5505,8809,3978,6639,8351,3855,7183,4641
114,Bolivia,Cochabamba,Carrasco,15,1254358,971967,977807,11227,7032,7063,6333,8025,5520,6181,5717,8824,6536,6127,5856,4895,5496,8791,3969,6617,8316,3841,7160,4626
115,Bolivia,Cochabamba,Carrasco,20,1254358,966483,975998,11227,7030,7062,6331,8024,5519,6180,5716,8822,6536,6126,5855,4892,5488,8773,3958,6592,8285,3831,7138,4611
116,Bolivia,Cochabamba,Carrasco,25,1254358,962965,971539,11227,7030,7061,6331,8024,5518,6180,5715,8822,6535,6125,5853,4890,5482,8759,3950,6574,8263,3822,7119,4596
117,Bolivia,Cochabamba,Carrasco,30,1254358,959381,957597,11227,7029,7060,6330,8022,5517,6179,5713,8820,6534,6125,5852,4888,5472,8739,3938,6546,8227,3810,7093,4580
118,Bolivia,Cochabamba,Carrasco,50,1254358,935700,909938,11227,7020,7046,6318,8006,5503,6164,5693,8801,6520,6105,5835,4865,5404,8601,3861,6381,8022,3716,6945,4475
119,Bolivia,Cochabamba,Carrasco,75,1254358,882932,844725,11227,6957,6972,6262,7905,5417,6068,5597,8705,6444,6016,5736,4761,5158,8145,3598,5842,7354,3424,6467,4154
120,Bolivia,Cochabamba,Cercado,0,31163,31163,31163,5,1,1,0,0,1,1,3,7,1,1,1,2,1,0,0,0,0,1,0,0
121,Bolivia,Cochabamba,Cercado,10,31163,1186,863,5,1,0,0,0,1,0,3,7,1,0,1,0,1,0,0,0,0,0,0,0
122,Bolivia,Cochabamba,Cercado,15,31163,1008,790,5,1,0,0,0,1,0,3,7,1,0,1,0,0,0,0,0,0,0,0,0
123,Bolivia,Cochabamba,Cercado,20,31163,909,786,5,1,0,0,0,1,0,3,7,1,0,1,0,0,0,0,0,0,0,0,0
124,Bolivia,Cochabamba,Cercado,25,31163,820,722,5,1,0,0,0,1,0,3,7,1,0,1,0,0,0,0,0,0,0,0,0
125,Bolivia,Cochabamba,Cercado,30,31163,741,475,5,1,0,0,0,1,0,3,7,1,0,1,0,0,0,0,0,0,0,0,0
126,Bolivia,Cochabamba,Cercado,50,31163,426,397,5,0,0,0,0,0,0,3,7,0,0,1,0,0,0,0,0,0,0,0,0
127,Bolivia,Cochabamba,Cercado,75,31163,228,263,5,0,0,0,0,0,0,3,7,0,0,1,0,0,0,0,0,0,0,0,0
128,Bolivia,Cochabamba,Chapare,0,1285151,1285151,1285151,5736,4015,3620,3997,5952,3449,3691,3365,6215,5071,5765,7204,3504,4352,5681,2806,4373,8429,2594,7128,3477
