,country,subnational1,threshold,area_ha,extent_2000_ha,extent_2010_ha,gain_2000-2012_ha,tc_loss_ha_2001,tc_loss_ha_2002,tc_loss_ha_2003,tc_loss_ha_2004,tc_loss_ha_2005,tc_loss_ha_2006,tc_loss_ha_2007,tc_loss_ha_2008,tc_loss_ha_2009,tc_loss_ha_2010,tc_loss_ha_2011,tc_loss_ha_2012,tc_loss_ha_2013,tc_loss_ha_2014,tc_loss_ha_2015,tc_loss_ha_2016,tc_loss_ha_2017,tc_loss_ha_2018,tc_loss_ha_2019,tc_loss_ha_2020
46,Bolivia,Pando,50,6344857,6185244,6116568,6499,9000,7726,7285,9886,32657,13781,9006,15657,11525,10869,17244,8580,6618,11789,5435,10629,10871,8239,7915,10546
47,Bolivia,Pando,75,6344857,6148530,6069626,6499,8609,7560,7140,9746,31906,13683,8923,15480,11451,10765,17123,8499,6560,11637,5357,10358,10643,8102,7787,10439
48,Bolivia,Potosí,0,11943654,11943654,11943654,16,4,4,7,32,9,5,5,11,13,15,8,17,1,2,0,4,18,0,0,1
49,Bolivia,Potosí,10,11943654,40310,32901,16,2,3,4,25,4,2,1,6,5,8,4,9,0,1,0,1,3,0,0,1
50,Bolivia,Potosí,15,11943654,33694,30706,16,2,3,4,24,4,2,1,5,5,8,4,9,0,1,0,1,3,0,0,1
51,Bolivia,Potosí,20,11943654,29830,30343,16,2,2,4,24,4,2,1,5,5,8,4,9,0,1,0,1,3,0,0,1
52,Bolivia,Potosí,25,11943654,25765,27925,16,2,2,4,24,4,2,1,5,5,8,4,9,0,1,0,1,2,0,0,1
53,Bolivia,Potosí,30,11943654,23443,22668,16,2,2,4,23,4,2,1,5,5,8,4,8,0,0,0,1,2,0,0,1
54,Bolivia,Potosí,50,11943654,13841,11330,16,2,2,2,14,2,1,0,4,4,5,4,6,0,0,0,0,2,0,0,1
55,Bolivia,Potosí,75,11943654,5729,2276,16,1,1,1,5,1,1,0,1,3,2,4,2,0,0,0,0,0,0,0,0
56,Bolivia,Santa Cruz,0,35551686,35551686,35551686,71668,87311,114893,109251,131176,144406,138463,118409,248531,138409,283850,211497,191276,125262,150567,120890,370274,329838,233437,737792,311767
57,Bolivia,Santa Cruz,10,35551686,30997742,29572270,71668,84524,112725,107650,128205,141731,136653,117329,244868,136495,282137,207984,187645,120665,144254,117312,351712,320165,225653,728125,306323
58,Bolivia,Santa Cruz,15,35551686,30852010,29470091,71668,84186,112428,107413,127847,141391,136406,117185,244464,136266,281892,207684,187401,120381,143899,117111,350746,319518,225193,726510,305983
59,Bolivia,Santa Cruz,20,35551686,30634859,29306611,71668,83819,112080,107157,127437,141039,136121,117021,244022,136037,281591,207321,187028,120036,143455,116823,349453,318690,224577,724475,305530
60,Bolivia,Santa Cruz,25,35551686,30469391,29021368,71668,83587,111843,106972,127137,140811,135930,116914,243712,135871,281375,207078,186794,119789,143164,116605,348637,318155,224153,723471,305201
61,Bolivia,Santa Cruz,30,35551686,30264155,28707306,71668,83291,111523,106756,126797,140529,135690,116774,243346,135661,281096,206710,186400,119384,142680,116247,347306,317252,223487,720837,304651
62,Bolivia,Santa Cruz,50,35551686,26181070,25600207,71668,78268,106427,103070,119076,133151,128975,113031,230082,126076,270596,196909,176812,107229,131515,103583,321592,294448,205660,670318,289991
63,Bolivia,Santa Cruz,75,35551686,19458107,20704459,71668,64071,89452,89385,95054,110336,104764,95624,168951,85166,217022,143928,148934,70766,90467,62389,207961,216953,132832,392682,241322
64,Bolivia,Tarija,0,3730489,3730489,3730489,2545,4632,3234,3559,8350,7758,5201,2254,23697,8152,15236,7432,6233,5897,4652,1823,5414,7372,7180,10436,11924
65,Bolivia,Tarija,10,3730489,2516716,2302838,2545,4416,3145,3484,8054,7543,5057,2185,23189,7955,15107,7367,6081,5677,4461,1651,5117,6949,6459,9931,11453
66,Bolivia,Tarija,15,3730489,2495334,2290314,2545,4385,3130,3471,8010,7511,5043,2177,23136,7932,15090,7359,6062,5660,4446,1644,5091,6919,6434,9907,11418
67,Bolivia,Tarija,20,3730489,2469759,2242670,2545,4353,3113,3460,7972,7477,5024,2170,23073,7908,15066,7350,6044,5635,4420,1631,5046,6866,6394,9865,11361
68,Bolivia,Tarija,25,3730489,2430769,2193831,2545,4331,3105,3452,7930,7437,5010,2161,23015,7892,15043,7337,6017,5612,4377,1619,5014,6822,6366,9835,11318
69,Bolivia,Tarija,30,3730489,2392537,2136706,2545,4289,3078,3432,7823,7376,4990,2145,22916,7856,15013,7316,5969,5581,4335,1606,4967,6770,6326,9794,11261
70,Bolivia,Tarija,50,3730489,1506758,1529692,2545,3425,2298,2919,5094,5146,3698,1440,17924,6352,13919,6280,4457,4222,2662,1288,3146,4602,3437,6117,7828
71,Bolivia,Tarija,75,3730489,942780,1096903,2545,1829,1599,2348,3368,3232,1795,622,8843,2994,9439,3231,1998,2716,1161,643,1458,2126,878,1955,3036
